Year,Quarter,Area of Residence,Reason for Journey,Avg Length of Stay,Expenditure,Overseas Trip Percentage,Total Trips,Number of Trips,Season
2016,4,United States and Canada,Other reason for journey,9.3,27.0,20.0,2139200,427840.0,Autumn
2017,1,United States and Canada,Other reason for journey,2.3,7.0,14.0,1796100,251454.00000000003,Winter
2017,2,United States and Canada,Other reason for journey,5.9,37.0,25.0,2769400,692350.0,Spring
2017,3,United States and Canada,Other reason for journey,2.3,19.0,14.0,3095600,433384.00000000006,Summer
2017,4,United States and Canada,Other reason for journey,5.7,23.0,17.0,2270900,386053.0,Autumn
2018,1,United States and Canada,Other reason for journey,3.9,14.0,17.0,1920700,326519.0,Winter
2018,2,United States and Canada,Other reason for journey,4.9,28.0,24.0,2951900,708456.0,Spring
2018,3,United States and Canada,Other reason for journey,2.1,20.0,22.0,3330900,732798.0,Summer
2018,4,United States and Canada,Other reason for journey,4.2,19.0,19.0,2412800,458432.0,Autumn
2019,1,United States and Canada,Other reason for journey,2.7,13.0,18.0,2026700,364806.0,Winter
2019,2,United States and Canada,Other reason for journey,4.2,33.0,23.0,3021800,695014.0,Spring
2019,3,United States and Canada,Other reason for journey,1.8,14.0,21.0,3334400,700224.0,Summer
2019,4,United States and Canada,Other reason for journey,9.0,49.0,23.0,2424600,557658.0,Autumn
2012,1,United States and Canada,Visit to friends/relatives,10.6,19.0,9.0,1165100,104859.0,Winter
2012,2,United States and Canada,Visit to friends/relatives,10.3,22.0,9.0,1817300,163557.0,Spring
2012,3,United States and Canada,Visit to friends/relatives,11.2,22.0,8.0,2096700,167736.0,Summer
2012,4,United States and Canada,Visit to friends/relatives,10.6,21.0,8.0,1438000,115040.0,Autumn
2013,1,United States and Canada,Visit to friends/relatives,9.6,16.0,8.0,1251700,100136.0,Winter
2013,2,United States and Canada,Visit to friends/relatives,9.7,22.0,9.0,1893000,170370.0,Spring
2013,3,United States and Canada,Visit to friends/relatives,12.0,44.0,11.0,2261000,248710.0,Summer
2013,4,United States and Canada,Visit to friends/relatives,8.6,22.0,7.0,1580100,110607.00000000001,Autumn
2014,1,United States and Canada,Visit to friends/relatives,9.9,27.0,9.0,1342500,120825.0,Winter
2014,2,United States and Canada,Visit to friends/relatives,8.0,30.0,8.0,2126600,170128.0,Spring
2014,3,United States and Canada,Visit to friends/relatives,11.2,42.0,10.0,2440400,244040.0,Summer
2014,4,United States and Canada,Visit to friends/relatives,8.5,25.0,8.0,1694900,135592.0,Autumn
2015,1,United States and Canada,Visit to friends/relatives,9.2,21.0,7.0,1531300,107191.00000000001,Winter
2015,2,United States and Canada,Visit to friends/relatives,8.7,35.0,9.0,2344900,211041.0,Spring
2015,3,United States and Canada,Visit to friends/relatives,10.8,50.0,11.0,2770900,304799.0,Summer
2015,4,United States and Canada,Visit to friends/relatives,9.7,30.0,8.0,1995900,159672.0,Autumn
2016,1,United States and Canada,Visit to friends/relatives,9.4,27.0,8.0,1784700,142776.0,Winter
